%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   9.6000000e+00  -8.4948918e+01   5.3709467e+01   4.7130520e+00   4.4772000e-02   2.1648000e+00
   9.8000000e+00  -8.5401193e+01   5.3687789e+01   4.7096860e+00   5.1168000e-02   2.1146400e+00
   1.0000000e+01  -8.5850950e+01   5.3672206e+01   4.7070940e+00   5.0102000e-02   2.1727200e+00
   1.0200000e+01  -8.6298190e+01   5.3676227e+01   4.7056860e+00   4.5838000e-02   2.1463200e+00
   1.0400000e+01  -8.6741537e+01   5.3664266e+01   4.7053590e+00   7.4620000e-02   2.1172800e+00
   1.0600000e+01  -8.7183772e+01   5.3651207e+01   4.7086050e+00   7.6752000e-02   2.1304800e+00
   1.0800000e+01  -8.7587402e+01   5.3739875e+01   4.7153400e+00   5.4366000e-02   2.1172800e+00
   1.1000000e+01  -8.8026735e+01   5.3753128e+01   4.7194600e+00   3.0914000e-02   2.1436800e+00
   1.1200000e+01  -8.8468136e+01   5.3777105e+01   4.7205010e+00   3.5178000e-02   2.1384000e+00
   1.1400000e+01  -8.8900357e+01   5.3794012e+01   4.7189740e+00   2.3452000e-02   2.1384000e+00
   1.1600000e+01  -8.9333257e+01   5.3802375e+01   4.7145790e+00   1.2792000e-02   2.0882400e+00
   1.1800000e+01  -8.9771549e+01   5.3795503e+01   4.7085040e+00   7.4620000e-03   2.0961600e+00
   1.2000000e+01  -9.0224270e+01   5.3800209e+01   4.7004630e+00   2.3452000e-02   2.1040800e+00
   1.2200000e+01  -9.0660659e+01   5.3794546e+01   4.6953670e+00   2.4518000e-02   2.1595200e+00
   1.2400000e+01  -9.1099715e+01   5.3753501e+01   4.6897460e+00   2.4518000e-02   2.1621600e+00
   1.2600000e+01  -9.1551435e+01   5.3713557e+01   4.6844070e+00   5.8630000e-02   2.1384000e+00
   1.2800000e+01  -9.2011321e+01   5.3702060e+01   4.6797440e+00   6.8224000e-02   2.1780000e+00
   1.3000000e+01  -9.2440981e+01   5.3683372e+01   4.6821610e+00   3.9442000e-02   2.1780000e+00
   1.3200000e+01  -9.2887719e+01   5.3682879e+01   4.6803390e+00   6.7158000e-02   2.1595200e+00
   1.3400000e+01  -9.3316124e+01   5.3679372e+01   4.6812070e+00   8.7412000e-02   2.1304800e+00
