%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   4.8200000e+01  -1.6975216e+02   5.3632891e+01   4.7089270e+00   6.1828000e-02   2.2123200e+00
   4.8400000e+01  -1.7019001e+02   5.3629592e+01   4.7126440e+00   3.3046000e-02   2.1885600e+00
   4.8600000e+01  -1.7063043e+02   5.3649611e+01   4.7058740e+00   5.2234000e-02   2.1542400e+00
   4.8800000e+01  -1.7106390e+02   5.3631768e+01   4.7116510e+00   6.1828000e-02   2.1278400e+00
   4.9000000e+01  -1.7149420e+02   5.3635778e+01   4.7109770e+00   6.6092000e-02   2.1304800e+00
   4.9200000e+01  -1.7193260e+02   5.3632396e+01   4.7181490e+00   7.4620000e-02   2.1331200e+00
   4.9400000e+01  -1.7234943e+02   5.3624926e+01   4.7203700e+00   5.2234000e-02   2.1278400e+00
   4.9600000e+01  -1.7279485e+02   5.3632407e+01   4.7205250e+00   6.1828000e-02   2.0908800e+00
   4.9800000e+01  -1.7322933e+02   5.3645581e+01   4.7213770e+00   4.7970000e-02   2.1014400e+00
   5.0000000e+01  -1.7370778e+02   5.3634828e+01   4.7200950e+00   3.0914000e-02   2.1384000e+00
   5.0200000e+01  -1.7415362e+02   5.3632415e+01   4.7248600e+00   3.4112000e-02   2.1542400e+00
   5.0400000e+01  -1.7457546e+02   5.3588639e+01   4.7182110e+00   2.6650000e-02   2.1516000e+00
   5.0600000e+01  -1.7502433e+02   5.3604111e+01   4.7174980e+00   1.5990000e-02   2.1595200e+00
   5.0800000e+01  -1.7547343e+02   5.3613448e+01   4.7187500e+00   9.5940000e-03   2.1489600e+00
   5.1000000e+01  -1.7590279e+02   5.3588835e+01   4.7027330e+00   2.8782000e-02   2.1489600e+00
   5.1200000e+01  -1.7632765e+02   5.3543756e+01   4.7058120e+00   4.1574000e-02   2.0856000e+00
   5.1400000e+01  -1.7677993e+02   5.3515844e+01   4.7026180e+00   3.9442000e-02   2.1436800e+00
   5.1600000e+01  -1.7723128e+02   5.3517001e+01   4.6948490e+00   5.6498000e-02   2.1252000e+00
   5.1800000e+01  -1.7765755e+02   5.3497879e+01   4.7041890e+00   6.5026000e-02   2.1093600e+00
   5.2000000e+01  -1.7808580e+02   5.3551981e+01   4.7125380e+00   9.1676000e-02   2.1463200e+00
   5.2200000e+01  -1.7852431e+02   5.3550758e+01   4.7172130e+00   8.4214000e-02   2.1727200e+00
   5.2400000e+01  -1.7896029e+02   5.3555370e+01   4.7249230e+00   8.3148000e-02   2.1516000e+00
   5.2600000e+01  -1.7939195e+02   5.3573458e+01   4.7355280e+00   6.2894000e-02   2.1304800e+00
   5.2800000e+01  -1.7984033e+02   5.3631889e+01   4.7286630e+00   4.7970000e-02   2.1780000e+00
   5.3000000e+01  -1.8027852e+02   5.3638142e+01   4.7313830e+00   3.9442000e-02   2.1489600e+00
   5.3200000e+01  -1.8071473e+02   5.3630592e+01   4.7278170e+00   1.8122000e-02   2.1674400e+00
   5.3400000e+01  -1.8114325e+02   5.3606516e+01   4.7218650e+00   1.8122000e-02   2.0908800e+00
   5.3600000e+01  -1.8158076e+02   5.3596869e+01   4.7208210e+00   2.3452000e-02   2.1040800e+00
   5.3800000e+01  -1.8202372e+02   5.3578180e+01   4.7148260e+00   1.0660000e-03   2.1225600e+00
   5.4000000e+01  -1.8248775e+02   5.3615621e+01   4.7094020e+00   1.1726000e-02   2.1516000e+00
   5.4200000e+01  -1.8293513e+02   5.3630168e+01   4.7029210e+00   2.9848000e-02   2.1912000e+00
   5.4400000e+01  -1.8336118e+02   5.3626609e+01   4.6999420e+00   4.1574000e-02   2.1436800e+00
   5.4600000e+01  -1.8381185e+02   5.3611034e+01   4.7049520e+00   3.0914000e-02   2.0856000e+00
   5.4800000e+01  -1.8425620e+02   5.3600661e+01   4.7057550e+00   3.1980000e-02   2.1463200e+00
   5.5000000e+01  -1.8470165e+02   5.3606898e+01   4.7022930e+00   3.4112000e-02   2.1542400e+00
   5.5200000e+01  -1.8514620e+02   5.3630393e+01   4.7013830e+00   4.3706000e-02   2.1516000e+00
   5.5400000e+01  -1.8557486e+02   5.3579641e+01   4.6997820e+00   5.6498000e-02   2.1225600e+00
   5.5600000e+01  -1.8602539e+02   5.3585951e+01   4.7008030e+00   6.8224000e-02   2.1357600e+00
   5.5800000e+01  -1.8646588e+02   5.3583595e+01   4.7041480e+00   7.0356000e-02   2.1700800e+00
   5.6000000e+01  -1.8690078e+02   5.3568871e+01   4.7075560e+00   7.7818000e-02   2.1331200e+00
   5.6200000e+01  -1.8734435e+02   5.3573071e+01   4.7093920e+00   7.7818000e-02   2.1278400e+00
   5.6400000e+01  -1.8778845e+02   5.3566587e+01   4.7141860e+00   8.3148000e-02   2.1172800e+00
   5.6600000e+01  -1.8821805e+02   5.3568554e+01   4.7182560e+00   6.0762000e-02   2.1595200e+00
   5.6800000e+01  -1.8865798e+02   5.3576837e+01   4.7210510e+00   7.2488000e-02   2.1278400e+00
   5.7000000e+01  -1.8909583e+02   5.3575635e+01   4.7203520e+00   5.3300000e-02   2.0935200e+00
   5.7200000e+01  -1.8953136e+02   5.3566803e+01   4.7259490e+00   4.6904000e-02   2.1040800e+00
   5.7400000e+01  -1.8995441e+02   5.3555898e+01   4.7276920e+00   3.7310000e-02   2.1014400e+00
   5.7600000e+01  -1.9039700e+02   5.3565627e+01   4.7309300e+00   2.5584000e-02   2.1067200e+00
   5.7800000e+01  -1.9084965e+02   5.3579502e+01   4.7272720e+00   3.1980000e-02   2.1621600e+00
   5.8000000e+01  -1.9128760e+02   5.3589844e+01   4.7245880e+00   9.5940000e-03   2.1595200e+00
   5.8200000e+01  -1.9172514e+02   5.3588732e+01   4.7198680e+00   3.9442000e-02   2.1014400e+00
   5.8400000e+01  -1.9216803e+02   5.3608005e+01   4.7197050e+00   4.1574000e-02   2.1621600e+00
   5.8600000e+01  -1.9260203e+02   5.3601788e+01   4.7230760e+00   3.3046000e-02   2.1516000e+00
   5.8800000e+01  -1.9303707e+02   5.3585709e+01   4.7220500e+00   2.3452000e-02   2.1040800e+00
   5.9000000e+01  -1.9347843e+02   5.3576484e+01   4.7213520e+00   4.3706000e-02   2.1225600e+00
   5.9200000e+01  -1.9390977e+02   5.3571894e+01   4.7213560e+00   4.1574000e-02   2.1436800e+00
   5.9400000e+01  -1.9434729e+02   5.3565476e+01   4.7200690e+00   3.0914000e-02   2.1146400e+00
   5.9600000e+01  -1.9478812e+02   5.3576157e+01   4.7173940e+00   3.3046000e-02   2.1146400e+00
   5.9800000e+01  -1.9523670e+02   5.3562604e+01   4.7116940e+00   4.4772000e-02   2.1304800e+00
   6.0000000e+01  -1.9567016e+02   5.3559005e+01   4.7093590e+00   5.9696000e-02   2.1278400e+00
   6.0200000e+01  -1.9611078e+02   5.3575807e+01   4.7094740e+00   5.5432000e-02   2.1120000e+00
   6.0400000e+01  -1.9654324e+02   5.3547914e+01   4.7072650e+00   5.9696000e-02   2.1674400e+00
   6.0600000e+01  -1.9698090e+02   5.3552567e+01   4.7111250e+00   4.4772000e-02   2.1093600e+00
   6.0800000e+01  -1.9741195e+02   5.3554528e+01   4.7084110e+00   2.9848000e-02   2.1357600e+00
   6.1000000e+01  -1.9787875e+02   5.3543436e+01   4.7082480e+00   3.1980000e-02   2.2070400e+00
   6.1200000e+01  -1.9832161e+02   5.3534666e+01   4.7085980e+00   3.7310000e-02   2.2017600e+00
   6.1400000e+01  -1.9875545e+02   5.3525144e+01   4.7087510e+00   4.5838000e-02   2.1252000e+00
   6.1600000e+01  -1.9919421e+02   5.3518030e+01   4.7121860e+00   4.0508000e-02   2.0935200e+00
   6.1800000e+01  -1.9961028e+02   5.3511427e+01   4.7173360e+00   4.6904000e-02   2.0961600e+00
   6.2000000e+01  -2.0005814e+02   5.3533296e+01   4.7189850e+00   4.5838000e-02   2.1410400e+00
   6.2200000e+01  -2.0049354e+02   5.3550838e+01   4.7203030e+00   6.7158000e-02   2.1172800e+00
   6.2400000e+01  -2.0093015e+02   5.3555623e+01   4.7216510e+00   7.0356000e-02   2.1172800e+00
   6.2600000e+01  -2.0137001e+02   5.3546829e+01   4.7295520e+00   8.2082000e-02   2.1595200e+00
   6.2800000e+01  -2.0179676e+02   5.3539510e+01   4.7309170e+00   5.6498000e-02   2.1357600e+00
   6.3000000e+01  -2.0225119e+02   5.3553833e+01   4.7382960e+00   2.7716000e-02   2.1067200e+00
   6.3200000e+01  -2.0269970e+02   5.3576919e+01   4.7365780e+00   4.7970000e-02   2.0961600e+00
   6.3400000e+01  -2.0313300e+02   5.3593335e+01   4.7307600e+00   2.0254000e-02   2.1357600e+00
   6.3600000e+01  -2.0356854e+02   5.3596751e+01   4.7302450e+00   2.1320000e-02   2.1278400e+00
   6.3800000e+01  -2.0401898e+02   5.3592662e+01   4.7229330e+00   2.3452000e-02   2.1093600e+00
   6.4000000e+01  -2.0447409e+02   5.3592216e+01   4.7193940e+00   2.1320000e-02   2.1832800e+00
   6.4200000e+01  -2.0491528e+02   5.3585554e+01   4.7143880e+00   2.2386000e-02   2.1648000e+00
   6.4400000e+01  -2.0533646e+02   5.3601534e+01   4.7062370e+00   4.3706000e-02   2.1753600e+00
   6.4600000e+01  -2.0578100e+02   5.3573548e+01   4.7092730e+00   3.7310000e-02   2.1727200e+00
   6.4800000e+01  -2.0624070e+02   5.3568798e+01   4.7089600e+00   2.4518000e-02   2.1436800e+00
   6.5000000e+01  -2.0668074e+02   5.3563309e+01   4.7087940e+00   3.9442000e-02   2.1146400e+00
   6.5200000e+01  -2.0712135e+02   5.3563064e+01   4.7106380e+00   4.6904000e-02   2.1120000e+00
   6.5400000e+01  -2.0754787e+02   5.3553406e+01   4.7118230e+00   4.5838000e-02   2.1278400e+00
   6.5600000e+01  -2.0798061e+02   5.3548961e+01   4.7128530e+00   3.7310000e-02   2.1357600e+00
   6.5800000e+01  -2.0841850e+02   5.3549992e+01   4.7100690e+00   5.3300000e-02   2.1384000e+00
   6.6000000e+01  -2.0883622e+02   5.3576668e+01   4.7092240e+00   4.3706000e-02   2.0935200e+00
   6.6200000e+01  -2.0927275e+02   5.3590334e+01   4.7087010e+00   3.6244000e-02   2.0988000e+00
   6.6400000e+01  -2.0970844e+02   5.3593029e+01   4.7090570e+00   5.4366000e-02   2.1304800e+00
   6.6600000e+01  -2.1014854e+02   5.3606844e+01   4.7074080e+00   6.8224000e-02   2.1806400e+00
   6.6800000e+01  -2.1060721e+02   5.3582809e+01   4.7104500e+00   8.8478000e-02   2.1727200e+00
   6.7000000e+01  -2.1105050e+02   5.3556823e+01   4.7176410e+00   7.7818000e-02   2.1331200e+00
   6.7200000e+01  -2.1149954e+02   5.3548612e+01   4.7252670e+00   6.1828000e-02   2.2149600e+00
   6.7400000e+01  -2.1192339e+02   5.3563940e+01   4.7265800e+00   2.8782000e-02   2.1727200e+00
   6.7600000e+01  -2.1235358e+02   5.3577839e+01   4.7255170e+00   3.5178000e-02   2.1357600e+00
   6.7800000e+01  -2.1279018e+02   5.3574912e+01   4.7190590e+00   3.5178000e-02   2.0908800e+00
   6.8000000e+01  -2.1322851e+02   5.3570902e+01   4.7193560e+00   3.8376000e-02   2.1120000e+00
   6.8200000e+01  -2.1367049e+02   5.3572072e+01   4.7214110e+00   3.5178000e-02   2.0829600e+00
   6.8400000e+01  -2.1410144e+02   5.3577153e+01   4.7179890e+00   2.1320000e-02   2.1199200e+00
   6.8600000e+01  -2.1454212e+02   5.3587832e+01   4.7189550e+00   2.9848000e-02   2.1463200e+00
   6.8800000e+01  -2.1501968e+02   5.3596302e+01   4.7150900e+00   4.6904000e-02   2.1410400e+00
   6.9000000e+01  -2.1545570e+02   5.3592189e+01   4.7133430e+00   4.7970000e-02   2.1674400e+00
   6.9200000e+01  -2.1589866e+02   5.3587632e+01   4.7164120e+00   4.4772000e-02   2.1568800e+00
   6.9400000e+01  -2.1631451e+02   5.3569695e+01   4.7163050e+00   2.8782000e-02   2.1621600e+00
   6.9600000e+01  -2.1675304e+02   5.3575263e+01   4.7167870e+00   4.0508000e-02   2.1463200e+00
   6.9800000e+01  -2.1718798e+02   5.3571369e+01   4.7136440e+00   3.7310000e-02   2.1093600e+00
   7.0000000e+01  -2.1764077e+02   5.3597183e+01   4.7128220e+00   5.7564000e-02   2.1463200e+00
   7.0200000e+01  -2.1807859e+02   5.3588311e+01   4.7138350e+00   4.1574000e-02   2.1146400e+00
   7.0400000e+01  -2.1852656e+02   5.3573595e+01   4.7139100e+00   6.2894000e-02   2.1384000e+00
   7.0600000e+01  -2.1897368e+02   5.3580959e+01   4.7129210e+00   6.8224000e-02   2.0829600e+00
   7.0800000e+01  -2.1941546e+02   5.3579528e+01   4.7131300e+00   7.2488000e-02   2.0935200e+00
   7.1000000e+01  -2.1984957e+02   5.3579740e+01   4.7114060e+00   5.9696000e-02   2.1199200e+00
   7.1200000e+01  -2.2029040e+02   5.3572458e+01   4.7150750e+00   5.7564000e-02   2.1067200e+00
   7.1400000e+01  -2.2073454e+02   5.3568944e+01   4.7133620e+00   5.7564000e-02   2.1357600e+00
   7.1600000e+01  -2.2117258e+02   5.3576705e+01   4.7138950e+00   4.9036000e-02   2.1516000e+00
   7.1800000e+01  -2.2157300e+02   5.3594681e+01   4.7150610e+00   4.6904000e-02   2.1357600e+00
   7.2000000e+01  -2.2202609e+02   5.3580697e+01   4.7106760e+00   4.2640000e-02   2.1067200e+00
   7.2200000e+01  -2.2246383e+02   5.3579375e+01   4.7117290e+00   3.6244000e-02   2.1489600e+00
   7.2400000e+01  -2.2292386e+02   5.3584727e+01   4.7066430e+00   6.1828000e-02   2.1885600e+00
   7.2600000e+01  -2.2336910e+02   5.3579120e+01   4.7124400e+00   5.7564000e-02   2.1780000e+00
   7.2800000e+01  -2.2381526e+02   5.3573331e+01   4.7120370e+00   5.2234000e-02   2.1595200e+00
   7.3000000e+01  -2.2423875e+02   5.3573311e+01   4.7154380e+00   2.7716000e-02   2.1595200e+00
   7.3200000e+01  -2.2467137e+02   5.3562773e+01   4.7190090e+00   5.2234000e-02   2.1516000e+00
   7.3400000e+01  -2.2511186e+02   5.3569164e+01   4.7174960e+00   5.4366000e-02   2.1410400e+00
   7.3600000e+01  -2.2554825e+02   5.3572028e+01   4.7219260e+00   6.1828000e-02   2.1727200e+00
   7.3800000e+01  -2.2598718e+02   5.3566900e+01   4.7254040e+00   5.8630000e-02   2.1357600e+00
   7.4000000e+01  -2.2641767e+02   5.3571785e+01   4.7266900e+00   4.2640000e-02   2.1621600e+00
   7.4200000e+01  -2.2685940e+02   5.3574559e+01   4.7267820e+00   5.2234000e-02   2.0882400e+00
   7.4400000e+01  -2.2730344e+02   5.3592253e+01   4.7261220e+00   5.3300000e-02   2.1304800e+00
   7.4600000e+01  -2.2774553e+02   5.3596792e+01   4.7257010e+00   3.8376000e-02   2.1304800e+00
   7.4800000e+01  -2.2818846e+02   5.3603613e+01   4.7255740e+00   4.2640000e-02   2.1621600e+00
   7.5000000e+01  -2.2861544e+02   5.3633759e+01   4.7168020e+00   3.7310000e-02   2.1040800e+00
   7.5200000e+01  -2.2904824e+02   5.3624212e+01   4.7166280e+00   2.8782000e-02   2.1304800e+00
   7.5400000e+01  -2.2948699e+02   5.3614650e+01   4.7151860e+00   3.7310000e-02   2.1595200e+00
   7.5600000e+01  -2.2993049e+02   5.3611595e+01   4.7127350e+00   3.3046000e-02   2.1040800e+00
   7.5800000e+01  -2.3038284e+02   5.3609413e+01   4.7101090e+00   3.7310000e-02   2.1542400e+00
   7.6000000e+01  -2.3082057e+02   5.3597145e+01   4.7057080e+00   2.0254000e-02   2.1806400e+00
   7.6200000e+01  -2.3127056e+02   5.3584465e+01   4.7058100e+00   2.0254000e-02   2.1912000e+00
   7.6400000e+01  -2.3171276e+02   5.3540322e+01   4.7046330e+00   4.3706000e-02   2.1621600e+00
   7.6600000e+01  -2.3214512e+02   5.3524356e+01   4.7026480e+00   4.5838000e-02   2.1357600e+00
   7.6800000e+01  -2.3258555e+02   5.3521100e+01   4.7074350e+00   4.6904000e-02   2.0750400e+00
   7.7000000e+01  -2.3301366e+02   5.3575373e+01   4.7050160e+00   5.3300000e-02   2.1568800e+00
   7.7200000e+01  -2.3344711e+02   5.3584837e+01   4.7060140e+00   7.3554000e-02   2.1885600e+00
   7.7400000e+01  -2.3388168e+02   5.3585249e+01   4.7137940e+00   7.7818000e-02   2.1885600e+00
   7.7600000e+01  -2.3431533e+02   5.3591735e+01   4.7156230e+00   8.1016000e-02   2.1542400e+00
   7.7800000e+01  -2.3474763e+02   5.3607094e+01   4.7226690e+00   6.1828000e-02   2.1463200e+00
   7.8000000e+01  -2.3520051e+02   5.3584368e+01   4.7232940e+00   4.5838000e-02   2.1436800e+00
   7.8200000e+01  -2.3563351e+02   5.3580230e+01   4.7246850e+00   6.2894000e-02   2.1357600e+00
   7.8400000e+01  -2.3609027e+02   5.3587950e+01   4.7249480e+00   4.7970000e-02   2.1225600e+00
   7.8600000e+01  -2.3654031e+02   5.3582047e+01   4.7245300e+00   6.0762000e-02   2.1648000e+00
   7.8800000e+01  -2.3697515e+02   5.3589079e+01   4.7233050e+00   4.7970000e-02   2.1357600e+00
   7.9000000e+01  -2.3739568e+02   5.3607813e+01   4.7260230e+00   3.8376000e-02   2.1516000e+00
   7.9200000e+01  -2.3784053e+02   5.3607088e+01   4.7233550e+00   3.8376000e-02   2.0908800e+00
   7.9400000e+01  -2.3828048e+02   5.3586876e+01   4.7225230e+00   1.4924000e-02   2.1199200e+00
   7.9600000e+01  -2.3872400e+02   5.3582835e+01   4.7192680e+00   1.0660000e-02   2.0961600e+00
   7.9800000e+01  -2.3916377e+02   5.3584074e+01   4.7111200e+00   2.2386000e-02   2.1093600e+00
   8.0000000e+01  -2.3960240e+02   5.3575791e+01   4.7045660e+00   2.3452000e-02   2.0750400e+00
   8.0200000e+01  -2.4003929e+02   5.3557856e+01   4.7005140e+00   3.5178000e-02   2.1410400e+00
   8.0400000e+01  -2.4048380e+02   5.3557817e+01   4.6995920e+00   5.9696000e-02   2.1489600e+00
   8.0600000e+01  -2.4092098e+02   5.3541762e+01   4.6995320e+00   5.9696000e-02   2.0908800e+00
   8.0800000e+01  -2.4136696e+02   5.3535554e+01   4.7005760e+00   6.7158000e-02   2.1806400e+00
   8.1000000e+01  -2.4180790e+02   5.3526702e+01   4.7047990e+00   7.0356000e-02   2.1489600e+00
   8.1200000e+01  -2.4224043e+02   5.3524167e+01   4.7105790e+00   8.3148000e-02   2.1859200e+00
   8.1400000e+01  -2.4267350e+02   5.3519935e+01   4.7230950e+00   6.7158000e-02   2.1357600e+00
   8.1600000e+01  -2.4311127e+02   5.3528607e+01   4.7238700e+00   6.3960000e-02   2.1938400e+00
   8.1800000e+01  -2.4354818e+02   5.3524654e+01   4.7243600e+00   8.2082000e-02   2.1516000e+00
   8.2000000e+01  -2.4397888e+02   5.3552007e+01   4.7281050e+00   6.9290000e-02   2.1146400e+00
   8.2200000e+01  -2.4441574e+02   5.3557122e+01   4.7321360e+00   5.5432000e-02   2.1410400e+00
   8.2400000e+01  -2.4485695e+02   5.3568824e+01   4.7337130e+00   4.1574000e-02   2.0988000e+00
   8.2600000e+01  -2.4530473e+02   5.3583131e+01   4.7284740e+00   2.9848000e-02   2.0908800e+00
   8.2800000e+01  -2.4574349e+02   5.3587529e+01   4.7247150e+00   3.6244000e-02   2.1093600e+00
   8.3000000e+01  -2.4618942e+02   5.3579687e+01   4.7230830e+00   4.2640000e-02   2.1252000e+00
   8.3200000e+01  -2.4662824e+02   5.3577143e+01   4.7228600e+00   3.1980000e-02   2.1384000e+00
   8.3400000e+01  -2.4706096e+02   5.3527682e+01   4.7212790e+00   2.1320000e-02   2.1964800e+00
   8.3600000e+01  -2.4749572e+02   5.3503262e+01   4.7181560e+00   2.3452000e-02   2.1568800e+00
   8.3800000e+01  -2.4794286e+02   5.3485396e+01   4.7146800e+00   1.3858000e-02   2.0882400e+00
   8.4000000e+01  -2.4837280e+02   5.3508765e+01   4.7111240e+00   2.5584000e-02   2.1516000e+00
   8.4200000e+01  -2.4880567e+02   5.3510453e+01   4.7083450e+00   2.5584000e-02   2.0882400e+00
   8.4400000e+01  -2.4923888e+02   5.3521514e+01   4.7045250e+00   3.6244000e-02   2.0829600e+00
   8.4600000e+01  -2.4967516e+02   5.3527855e+01   4.7046090e+00   5.0102000e-02   2.0829600e+00
   8.4800000e+01  -2.5013414e+02   5.3497257e+01   4.7007040e+00   6.5026000e-02   2.1172800e+00
   8.5000000e+01  -2.5058048e+02   5.3486754e+01   4.7060440e+00   6.0762000e-02   2.1040800e+00
   8.5200000e+01  -2.5102687e+02   5.3488314e+01   4.7101380e+00   5.7564000e-02   2.1568800e+00
   8.5400000e+01  -2.5143018e+02   5.3496220e+01   4.7088190e+00   7.6752000e-02   2.1568800e+00
   8.5600000e+01  -2.5185869e+02   5.3496536e+01   4.7127910e+00   7.9950000e-02   2.1384000e+00
   8.5800000e+01  -2.5229475e+02   5.3495556e+01   4.7174330e+00   9.8072000e-02   2.1067200e+00
   8.6000000e+01  -2.5275027e+02   5.3532489e+01   4.7249010e+00   8.1016000e-02   2.1252000e+00
   8.6200000e+01  -2.5318126e+02   5.3536866e+01   4.7302330e+00   6.5026000e-02   2.1067200e+00
   8.6400000e+01  -2.5361721e+02   5.3556981e+01   4.7347810e+00   5.0102000e-02   2.1252000e+00
   8.6600000e+01  -2.5405355e+02   5.3578322e+01   4.7368250e+00   4.9036000e-02   2.1120000e+00
   8.6800000e+01  -2.5453102e+02   5.3571237e+01   4.7337570e+00   5.6498000e-02   2.0988000e+00
   8.7000000e+01  -2.5494857e+02   5.3542887e+01   4.7373020e+00   2.6650000e-02   2.1278400e+00
   8.7200000e+01  -2.5538758e+02   5.3530181e+01   4.7354340e+00   2.6650000e-02   2.1727200e+00
   8.7400000e+01  -2.5583209e+02   5.3578823e+01   4.7304340e+00   1.9188000e-02   2.1463200e+00
   8.7600000e+01  -2.5626572e+02   5.3581251e+01   4.7298840e+00   1.4924000e-02   2.0988000e+00
   8.7800000e+01  -2.5671197e+02   5.3592530e+01   4.7273090e+00  -3.1980000e-03   2.1172800e+00
   8.8000000e+01  -2.5713916e+02   5.3560367e+01   4.7247250e+00  -1.0660000e-03   2.0908800e+00
   8.8200000e+01  -2.5758049e+02   5.3569333e+01   4.7147700e+00   7.4620000e-03   2.1172800e+00
   8.8400000e+01  -2.5802905e+02   5.3559441e+01   4.7074040e+00   2.6650000e-02   2.1410400e+00
   8.8600000e+01  -2.5846967e+02   5.3552521e+01   4.7044580e+00   4.0508000e-02   2.0380800e+00
   8.8800000e+01  -2.5891286e+02   5.3534797e+01   4.6976800e+00   4.6904000e-02   2.0644800e+00
   8.9000000e+01  -2.5934874e+02   5.3530248e+01   4.6985940e+00   7.2488000e-02   2.1568800e+00
   8.9200000e+01  -2.5978952e+02   5.3518121e+01   4.7004950e+00   7.6752000e-02   2.1885600e+00
   8.9400000e+01  -2.6025641e+02   5.3542071e+01   4.7066120e+00   1.0660000e-01   2.0908800e+00
   8.9600000e+01  -2.6064783e+02   5.3549739e+01   4.7129290e+00   8.6346000e-02   2.1252000e+00
   8.9800000e+01  -2.6107429e+02   5.3525344e+01   4.7189680e+00   6.9290000e-02   2.1146400e+00
   9.0000000e+01  -2.6151345e+02   5.3533278e+01   4.7253570e+00   7.1422000e-02   2.1304800e+00
   9.0200000e+01  -2.6193937e+02   5.3541015e+01   4.7270750e+00   5.4366000e-02   2.1252000e+00
   9.0400000e+01  -2.6236720e+02   5.3551690e+01   4.7325430e+00   5.6498000e-02   2.0882400e+00
   9.0600000e+01  -2.6279938e+02   5.3538134e+01   4.7361610e+00   2.5584000e-02   2.1489600e+00
   9.0800000e+01  -2.6323252e+02   5.3523725e+01   4.7354230e+00   3.8376000e-02   2.1489600e+00
   9.1000000e+01  -2.6371137e+02   5.3524915e+01   4.7325240e+00   4.0508000e-02   2.1225600e+00
   9.1200000e+01  -2.6414944e+02   5.3536677e+01   4.7337360e+00   2.8782000e-02   2.1199200e+00
   9.1400000e+01  -2.6459245e+02   5.3542047e+01   4.7322900e+00   2.5584000e-02   2.1278400e+00
   9.1600000e+01  -2.6503425e+02   5.3541245e+01   4.7283550e+00   3.7310000e-02   2.1357600e+00
   9.1800000e+01  -2.6545887e+02   5.3581692e+01   4.7256950e+00   1.8122000e-02   2.1331200e+00
   9.2000000e+01  -2.6590237e+02   5.3573440e+01   4.7246910e+00   2.0254000e-02   2.1595200e+00
   9.2200000e+01  -2.6634012e+02   5.3541137e+01   4.7205200e+00   3.0914000e-02   2.1120000e+00
   9.2400000e+01  -2.6679862e+02   5.3533477e+01   4.7166300e+00   1.4924000e-02   2.0988000e+00
   9.2600000e+01  -2.6724050e+02   5.3540349e+01   4.7101840e+00   2.6650000e-02   2.1278400e+00
   9.2800000e+01  -2.6768464e+02   5.3536887e+01   4.7038420e+00   3.8376000e-02   2.1093600e+00
   9.3000000e+01  -2.6809893e+02   5.3537879e+01   4.7001120e+00   5.8630000e-02   2.1014400e+00
   9.3200000e+01  -2.6853962e+02   5.3525046e+01   4.7002980e+00   5.7564000e-02   2.1516000e+00
   9.3400000e+01  -2.6897860e+02   5.3516466e+01   4.7060140e+00   5.8630000e-02   2.1648000e+00
   9.3600000e+01  -2.6941261e+02   5.3522641e+01   4.7058820e+00   5.7564000e-02   2.1991200e+00
   9.3800000e+01  -2.6985140e+02   5.3500272e+01   4.7066140e+00   6.5026000e-02   2.1542400e+00
   9.4000000e+01  -2.7031656e+02   5.3519721e+01   4.7125350e+00   3.9442000e-02   2.1542400e+00
   9.4200000e+01  -2.7076368e+02   5.3523853e+01   4.7141870e+00   8.1016000e-02   2.1542400e+00
   9.4400000e+01  -2.7117212e+02   5.3535609e+01   4.7139230e+00   5.4366000e-02   2.1331200e+00
   9.4600000e+01  -2.7160270e+02   5.3537516e+01   4.7201250e+00   6.0762000e-02   2.1357600e+00
   9.4800000e+01  -2.7203245e+02   5.3534609e+01   4.7236690e+00   7.4620000e-02   2.1199200e+00
   9.5000000e+01  -2.7245798e+02   5.3530704e+01   4.7297000e+00   5.0102000e-02   2.1410400e+00
   9.5200000e+01  -2.7288697e+02   5.3544088e+01   4.7342200e+00   4.6904000e-02   2.1357600e+00
   9.5400000e+01  -2.7333731e+02   5.3555396e+01   4.7343830e+00   3.8376000e-02   2.0882400e+00
   9.5600000e+01  -2.7377584e+02   5.3560678e+01   4.7324120e+00   3.9442000e-02   2.1331200e+00
   9.5800000e+01  -2.7421772e+02   5.3571245e+01   4.7326510e+00   4.7970000e-02   2.1199200e+00
   9.6000000e+01  -2.7465860e+02   5.3532214e+01   4.7330050e+00   3.4112000e-02   2.1146400e+00
   9.6200000e+01  -2.7510026e+02   5.3526749e+01   4.7306710e+00   3.3046000e-02   2.1040800e+00
   9.6400000e+01  -2.7554456e+02   5.3521496e+01   4.7248440e+00   3.8376000e-02   2.1410400e+00
   9.6600000e+01  -2.7598384e+02   5.3512077e+01   4.7214430e+00   5.1168000e-02   2.1542400e+00
   9.6800000e+01  -2.7639230e+02   5.3536486e+01   4.7189750e+00   3.3046000e-02   2.1489600e+00
   9.7000000e+01  -2.7684869e+02   5.3548533e+01   4.7185920e+00   3.4112000e-02   2.1357600e+00
   9.7200000e+01  -2.7729230e+02   5.3560296e+01   4.7176070e+00   3.0914000e-02   2.1384000e+00
   9.7400000e+01  -2.7773840e+02   5.3574793e+01   4.7137190e+00   3.3046000e-02   2.1252000e+00
   9.7600000e+01  -2.7818174e+02   5.3582203e+01   4.7162250e+00   2.7716000e-02   2.1331200e+00
